Encoder Reading,Lickometer,Timestamp
0,0,6.76957595
0,0,6.88139325
0,0,6.9777213
0,0,7.32838786
0,0,7.37588637
0,0,7.43797013
0,0,7.47942988
0,0,7.52393468
0,0,7.56294287
0,0,7.6030453
0,0,7.64337263
0,0,7.68288928
0,0,7.72138867
0,0,7.75994485
0,0,7.80463635
0,0,7.84737193
0,0,7.8832215
0,0,7.91907685
0,0,7.95878727
0,0,8.00981524
0,0,8.05063179
0,0,8.09229204
0,0,8.13636824
0,0,8.18511628
0,0,8.23162609
0,0,8.2779986
0,0,8.31670009
0,0,8.45078584
0,0,8.51940978
0,0,8.56481314
0,0,8.61244447
0,0,8.65125664
0,0,8.69296373
0,0,8.73351369
0,0,8.77465456
0,0,8.82187206
0,0,8.86638455
0,0,8.90657072
0,0,8.94747452
0,0,8.98322208
0,0,9.02297677
0,0,9.07178801
1,0,9.11485112
-1,0,9.1550591
0,0,9.20080412
0,0,9.24051999
0,0,9.27843168
0,0,9.32160194
0,0,9.36100503
-2,0,9.44025713
28,0,9.4912742
-41,0,9.53692009
-81,0,9.59227375
-107,0,9.63911431
-130,0,9.68424082
-267,0,9.72909304
-452,0,9.78466325
-581,0,9.82607809
-589,0,9.88243843
-583,0,9.94189675
-581,0,9.9841184
-574,0,10.0281651
-457,0,10.1229751
-287,0,10.214212
-37,0,10.3040656
17,0,10.3931259
31,0,10.4834999
27,0,10.5731225
12,0,10.6588568
14,0,10.7895205
13,0,10.8770968
13,0,10.9658459
13,0,11.0518473
13,0,11.1304809
13,0,11.2321253
13,0,11.3211955
13,0,11.432376
13,0,11.524123
13,0,11.6146092
13,0,11.7031389
13,0,11.7890515
13,0,11.8787733
13,0,11.9711327
13,0,12.0547935
13,0,12.1480406
13,0,12.286887
13,0,12.3758142
13,0,12.4655257
13,0,12.5512416
13,0,12.6372787
13,0,12.7256832
13,0,12.8034346
23,0,12.9476558
65,0,13.0337034
81,0,13.1205069
81,0,13.2115673
58,0,13.3044731
-6,0,13.3953921
-68,0,13.4840395
-85,0,13.6081287
-96,0,13.6985312
-96,0,13.7831029
-96,0,13.8693151
-96,0,13.9602126
-96,0,14.0878685
-96,0,14.1732521
-96,0,14.2593655
-96,0,14.3492663
-96,0,14.4392533
-96,0,14.5689736
-96,0,14.6894968
-96,0,14.7305392
-96,0,14.7674709
-96,0,14.807427
-96,0,14.8449595
-96,0,14.8859201
-135,0,15.5764967
-164,0,15.6149108
-176,0,15.6556279
-177,0,15.7083029
-178,0,15.7506137
-184,0,15.7861944
-183,0,15.8246765
-168,0,15.8672613
-126,0,15.9193226
-81,0,15.9600195
-46,0,16.0032581
-33,0,16.0431372
-28,0,16.085245
-28,0,16.1273913
-28,0,16.1677481
-28,0,16.2099672
-24,0,16.2461825
-25,0,16.2829133
-25,0,16.318947
-21,0,16.3593773
0,0,16.4041548
24,0,16.4459491
31,0,16.4829321
37,0,16.5241814
48,0,16.5599867
50,0,16.6031114
62,0,16.6412749
66,0,16.6791757
77,0,16.7244867
88,0,16.7656853
91,0,16.8063902
96,0,16.8506848
97,0,16.9007061
92,0,16.9412128
87,0,16.987892
87,0,17.039627
91,0,17.0882195
91,0,17.1261908
91,0,17.1665034
95,0,17.2024261
100,0,17.2417304
111,0,17.2899067
111,0,17.330867
111,0,17.3750465
111,0,17.407766
111,0,17.4412285
111,0,17.4862726
111,0,17.5366464
109,0,17.5754352
17,0,17.6718136
-23,0,17.7106768
-30,0,17.7523271
-35,0,17.7928661
-39,0,17.8352389
-58,0,17.8703602
-68,0,17.9116545
-85,0,17.9880578
-103,0,18.0223631
-115,0,18.0632929
-121,0,18.0996637
-116,0,18.1409179
-53,0,18.2000932
-9,0,18.2415591
28,0,18.2761614
71,0,18.3188126
103,0,18.377884
116,0,18.4122402
123,0,18.4554907
123,0,18.4975648
124,0,18.5357578
123,0,18.5793009
123,0,18.6178246
124,0,18.6653459
124,0,18.7013418
124,0,18.7435753
124,0,18.7951002
126,0,18.8413938
127,0,18.877533
131,0,18.9116695
132,0,18.9498594
132,0,18.996903
126,0,19.0386081
111,0,19.0811564
77,0,19.1172482
31,0,19.1635671
10,0,19.1996909
2,0,19.246766
-1,0,19.2918883
-6,0,19.3287728
-8,0,19.366595
-13,0,19.4029877
-15,0,19.4501336
-14,0,19.4885747
-14,0,19.525257
-15,0,19.5633291
-14,0,19.6162623
-7,0,19.6740567
33,0,19.7156752
40,0,19.755844
45,0,19.7998705
75,0,19.8449207
96,0,19.888124
96,0,19.9279894
96,0,19.9810185
97,0,20.0273644
98,0,20.0832955
98,0,20.1329944
98,0,20.1772024
98,0,20.2177181
98,0,20.2599779
98,0,20.2997871
98,0,20.3442255
98,0,20.3827823
98,0,20.4193896
98,0,20.4781059
98,0,20.5433002
98,0,20.5909338
98,0,20.6355935
98,0,20.6774392
98,0,20.7207435
98,0,20.7684442
98,0,20.8080105
29,0,21.5006326
25,0,21.5413144
22,0,21.5835002
13,0,21.6233572
3,0,21.6645933
-12,0,21.7170963
-20,0,21.7583473
-29,0,21.7967767
-36,0,21.832993
-48,0,21.8757452
-63,0,21.9088057
-82,0,21.9483115
-106,0,21.9834274
-128,0,22.0238272
-148,0,22.0662458
-162,0,22.1074611
-181,0,22.1445548
-196,0,22.1849979
-208,0,22.2255735
-212,0,22.2660869
-215,0,22.301429
-218,0,22.3512472
-222,0,22.3946055
-227,0,22.4294163
-232,0,22.4670088
-236,0,22.5033841
-247,0,22.5488391
-263,0,22.5887834
-272,0,22.6276216
-288,0,22.6646815
-297,0,22.705321
-304,0,22.7414346
-306,0,22.7851499
-308,0,22.8270706
-308,0,22.8716605
-308,0,22.9089228
-309,0,22.9507724
-309,0,22.9911491
-308,0,23.033005
-308,0,23.0999483
-256,0,23.2014021
-201,0,23.2933749
-147,0,23.3838955
-140,0,23.4741456
-140,0,23.6050144
-141,0,23.6917447
-148,0,23.7769172
-157,0,23.8684091
-176,0,23.9529028
-186,0,24.0393912
-191,0,24.1256894
-192,0,24.1761569
-193,0,24.2685981
-193,0,24.3603881
-196,0,24.4648209
-196,0,24.5386627
-196,0,24.6288108
-197,0,24.7189487
-197,0,24.8048821
-197,0,24.8917744
-197,0,24.9769693
-199,0,25.0646133
-199,0,25.1547075
-199,0,25.2388226
-199,0,25.3306951
-199,0,25.4181109
-199,0,25.5054995
-199,0,25.5905764
-199,0,25.6784038
-199,0,25.7682472
-199,0,25.8817538
-1,0,25.974093
-2,0,26.0599238
-3,0,26.1481513
-3,0,26.2342875
-3,0,26.3241668
-4,0,26.4236518
-1,0,26.5143392
-1,0,26.6037661
-4,0,26.6890272
-18,0,26.7759426
-34,0,26.8668061
-33,0,26.9564762
-33,0,27.0497156
-33,0,27.2112042
-33,0,27.3007213
-33,0,27.390947
-33,0,27.4794318
-33,0,27.5804727
-33,0,27.6163692
-33,0,27.6508909
-33,0,27.6878216
-33,0,27.7291723
-33,0,27.7748037
-33,0,27.8179958
-33,0,27.8574092
-33,0,27.9144656
-31,0,27.9543201
-10,0,27.9957783
48,0,28.0335148
87,0,28.0755
91,0,28.1249423
62,0,28.1643219
14,0,28.2066424
-19,0,28.24482
-31,0,28.2838096
-53,0,28.3276125
-84,0,28.3784775
-109,0,28.4163157
-125,0,28.4503258
-149,0,28.4919873
-151,0,28.5361502
-152,0,28.5780013
-148,0,28.6313191
-128,0,28.6756931
-90,0,28.7183927
-50,0,28.7578532
-30,0,28.7992334
-9,0,28.8393901
123,0,29.5192122
123,0,29.5663373
123,0,29.6006364
123,0,29.6516952
123,0,29.6909456
117,0,29.7384505
114,0,29.7794066
114,0,29.8154695
117,0,29.8590273
123,0,29.8984339
123,0,29.9411753
123,0,29.9881701
123,0,30.0316917
123,0,30.0720841
123,0,30.1092422
123,0,30.1463067
123,0,30.2328464
123,0,30.2789636
123,0,30.3227219
123,0,30.3666136
123,0,30.4116314
123,0,30.4499906
123,0,30.4907064
123,0,30.5284776
123,0,30.5650252
123,0,30.6003066
123,0,30.6512855
123,0,30.6857101
123,0,30.724922
123,0,30.7606545
123,0,30.8009757
123,0,30.8428669
123,0,30.8800491
123,0,30.9161008
123,0,30.9566982
122,0,31.0017256
118,0,31.0462002
117,0,31.0879647
116,0,31.1331904
116,0,31.1795549
116,0,31.2163434
116,0,31.2522017
116,0,31.3026926
115,0,31.3981532
114,0,31.4826023
113,0,31.5792386
89,0,31.6721719
45,0,31.7609336
39,0,31.8516841
20,0,31.9409805
-9,0,32.0295558
-59,0,32.1155633
-103,0,32.2010065
