Encoder Reading,Lickometer,Timestamp
-84,0,11.4763226
-84,0,11.5153946
-84,0,11.6069796
-84,0,11.6973645
-84,0,11.7648977
-84,0,11.8395078
-84,0,11.9267273
-84,0,11.9992724
-84,0,12.0841677
-84,0,12.1574597
-84,0,12.2320297
-84,0,12.3658418
-84,0,12.444741
-84,0,12.5168815
-84,0,12.5918019
-84,0,12.6372043
