Encoder Reading,Lickometer,Timestamp
0,0,4.3001801
0,0,4.42260855
0,0,4.73278451
0,0,4.82641749
0,0,4.91816
0,0,5.00803544
0,0,5.09762023
0,0,5.1878941
0,0,5.27882562
0,0,5.3639208
0,0,5.46574353
0,0,5.55745395
0,0,5.64604362
0,0,5.73024312
0,0,5.82354889
0,0,5.9131433
0,0,6.00230913
0,0,6.14002057
0,0,6.22815085
0,0,6.3169516
0,0,6.40385995
0,0,6.50217471
0,0,6.59930476
0,0,6.67374772
0,0,6.80481793
0,0,6.84570922
0,0,6.89087679
0,0,6.93706515
0,0,6.98151092
0,0,7.01743043
0,0,7.05553331
0,0,7.09571274
0,0,7.14497214
0,0,7.18649028
0,0,7.22682658
0,0,7.27680554
0,0,7.31989175
0,0,7.36212495
0,0,7.40230117
0,0,7.44128562
0,0,7.47641178
0,0,7.5327532
0,0,7.58786337
0,0,7.62838799
0,0,7.66863767
0,0,7.71259807
0,0,7.7519139
0,0,7.78756009
0,0,7.82544065
0,0,7.87264692
0,0,7.91073857
0,0,7.95121731
0,0,7.99596496
0,0,8.03739487
0,0,8.07555967
0,0,8.11734375
0,0,8.16511335
0,0,8.21003775
0,0,8.25493393
0,0,8.29258288
0,0,8.34036787
0,0,8.37817241
0,0,8.42207763
0,0,8.46470958
0,0,8.51364978
0,0,8.55259028
0,0,8.58832918
0,0,8.62871552
0,0,8.66799479
0,0,8.70441923
0,0,8.73821279
0,0,8.78355103
0,0,8.82389535
0,0,8.86561206
0,0,8.90657265
0,0,8.94338911
0,0,8.98431216
0,0,9.02900399
0,0,9.07338977
0,0,9.1180832
0,0,9.15210548
0,0,9.1916292
0,0,9.22902375
0,0,9.26730211
0,0,9.3018226
0,0,9.34125777
0,0,10.0543518
0,0,10.0895142
0,0,10.1277714
0,0,10.1697653
0,0,10.2043775
0,0,10.2485436
0,0,10.2954512
0,0,10.3369497
0,0,10.3728368
0,0,10.4255054
0,0,10.4661105
0,0,10.5111674
0,0,10.5513728
0,0,10.5848235
0,0,10.6263615
0,0,10.6693338
0,0,10.7035268
0,0,10.7368426
0,0,10.7780595
0,0,10.8148234
0,0,10.8567919
0,0,10.8991929
0,0,10.9667646
0,0,11.0116589
0,0,11.0577202
0,0,11.1009822
0,0,11.1507786
0,0,11.1917598
0,0,11.2297696
0,0,11.2701579
0,0,11.3076115
0,0,11.343036
0,0,11.3841983
0,0,11.4284356
0,0,11.4623847
0,0,11.503414
-1,0,11.5417754
0,0,11.5933343
0,0,11.6329495
0,0,11.6698509
0,0,11.7082804
0,0,11.7534714
0,0,11.7972894
0,0,11.8381072
0,0,11.8849044
0,0,11.9275714
0,0,11.9702996
0,0,12.0076681
0,0,12.0462073
0,0,12.0836795
5,0,12.1308219
4,0,12.1708836
0,0,12.2091536
-15,0,12.2572277
-78,0,12.31584
-104,0,12.3562014
-112,0,12.3925154
-108,0,12.4288244
-108,0,12.4736625
-117,0,12.5115979
-121,0,12.5647025
-87,0,12.605374
15,0,12.6544868
40,0,12.6912564
68,0,12.7283947
69,0,12.7672874
69,0,12.8100018
68,0,12.8503365
82,0,12.8950469
117,0,12.9365788
181,0,12.9801892
214,0,13.0197065
188,0,13.0544753
154,0,13.1662538
150,0,13.2066084
145,0,13.2431968
142,0,13.2833929
112,0,13.3213665
-17,0,13.3584107
-111,0,13.4046
-153,0,13.4489701
-178,0,13.4852438
-179,0,13.5311861
-186,0,13.5709379
-205,0,13.6299743
-212,0,13.6701339
-219,0,13.7182692
-235,0,13.768755
-256,0,13.8180917
-258,0,13.8636366
-271,0,13.9016631
-284,0,13.933947
-291,0,13.9776023
-305,0,14.0122665
-317,0,14.0546136
-320,0,14.0977893
-326,0,14.1410722
-330,0,14.1767517
-316,0,14.2268795
-313,0,14.3332467
-268,0,14.4268717
-120,0,14.5126418
13,0,14.5982968
12,0,14.6845735
-14,0,14.7709009
-44,0,14.8615459
-65,0,14.9470995
-85,0,15.0348811
-96,0,15.1733804
-112,0,15.2586851
-120,0,15.310994
